year,utility_number,utility_name,state,saidi_with_med_minutes,saifi_with_med,saidi_without_med_minutes,saifi_without_med,customers,counties_in_territory,winter_event_count,storm_property_damage_usd,storm_crop_damage_usd,direct_deaths,direct_injuries,utility_name_weather,station_id,station_name,freeze_days,sub20f_days,precip_days,snow_days,min_temp_c,total_precip_mm,utility_name_delivery,revenue_thousand_dollars,sales_mwh,customers_delivery,avg_delivery_rate_usd_per_mwh,lost_revenue_estimate_usd,storm_damage_millions,delivery_rate_change_pct
2013,3278,AEP Texas Central Company,TX,185.0,1.74,152.0,1.55,803426,5.0,11.0,82000.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,0,0,8,0,1.1,50.5,,,,,,,0.082,
2014,3278,AEP Texas Central Company,TX,182.3,1.887,136.7,1.449,813976,,,,,,,AEP Texas Central Company,USW00012924,Corpus Christi,6,0,8,0,-1.6,49.9,,,,,,,,
2015,3278,AEP Texas Central Company,TX,260.9,2.023,176.9,1.681,823421,2.0,2.0,0.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,1,0,14,0,0.0,110.4,,,,,,,0.0,
2016,3278,AEP Texas Central Company,TX,282.4,1.911,157.9,1.589,829475,9.0,21.0,430000.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,2,0,11,0,0.0,114.4,,,,,,,0.43,
2017,3278,AEP Texas Central Company,TX,2050.9,2.218,168.5,1.573,835464,14.0,30.0,1017000.0,0.0,0.0,6.0,AEP Texas Central Company,USW00012924,Corpus Christi,5,0,17,1,-3.2,183.7,,,,,,,1.017,
2018,3278,AEP Texas Central Company,TX,196.3,1.806,166.0,1.679,844645,10.0,19.0,0.0,0.0,2.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,6,0,11,0,-2.7,64.8,,,,,,,0.0,
2019,3278,AEP Texas Central Company,TX,233.8,1.82,167.0,1.623,855355,1.0,2.0,3000.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,2,0,15,0,-1.6,163.6,,,,,,,0.003,
2020,3278,AEP Texas Central Company,TX,515.6,1.882,170.1,1.474,869844,5.0,9.0,208000.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,2,0,11,0,-0.5,72.8,AEP Texas Central Company,906667.6,25990204.0,869874.0,34.8849743541836,889417.4554033485,0.208,
2021,3278,AEP Texas Central Company,TX,1901.1,3.363,186.3,1.608,883117,1.0,3.0,0.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,10,2,8,0,-8.2,61.0,AEP Texas Central Company,862848.0,26873174.0,881380.0,32.108153655388826,3120929.095890411,0.0,-7.959933324307467
2022,3278,AEP Texas Central Company,TX,208.9,2.113,166.2,1.485,894484,1.0,1.0,0.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,13,0,8,0,-5.5,73.1,AEP Texas Central Company,1050210.0,29408622.0,891818.0,35.71095578704776,417406.52397260274,0.0,11.220832472421737
2023,3278,AEP Texas Central Company,TX,408.9,2.018,169.7,1.528,901182,5.0,3.0,100000.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,1,0,8,0,0.0,34.8,AEP Texas Central Company,1049708.5,30462365.0,906416.0,34.459192515091985,816639.660673516,0.1,-3.505263985148732
2024,3278,AEP Texas Central Company,TX,228.5,1.634,149.6,1.46,913164,14.0,33.0,20000.0,0.0,0.0,0.0,AEP Texas Central Company,USW00012924,Corpus Christi,3,0,16,0,-4.3,128.6,AEP Texas Central Company,1124620.9,31182483.0,916131.0,36.06579052732908,488919.0937024353,0.02,4.662320544898013
2013,8901,CenterPoint Energy,TX,140.187,1.58,107.874,1.399,2436565,1.0,1.0,0.0,0.0,0.0,0.0,CenterPoint Energy,USW00012918,Houston Hobby,2,0,16,0,-0.6,143.4,,,,,,,0.0,
2014,8901,CenterPoint Energy,TX,120.279,1.414,104.681,1.244,2495090,2.0,3.0,26000.0,0.0,0.0,0.0,CenterPoint Energy,USW00012918,Houston Hobby,8,0,21,0,-3.8,184.0,,,,,,,0.026,
2015,8901,CenterPoint Energy,TX,258.844,1.983,134.755,1.335,2394231,2.0,2.0,1000.0,0.0,0.0,0.0,CenterPoint Energy,USW00012918,Houston Hobby,1,0,20,0,-1.0,238.3,,,,,,,0.001,
2016,8901,CenterPoint Energy,TX,225.63,1.83,131.13,1.32,2417035,6.0,11.0,104000.0,0.0,0.0,0.0,CenterPoint Energy,USW00012918,Houston Hobby,1,0,24,0,0.0,199.9,,,,,,,0.104,
2017,8901,CenterPoint Energy,TX,454.19,1.8,130.61,1.26,2468148,8.0,35.0,3382000.0,0.0,0.0,6.0,CenterPoint Energy,USW00012918,Houston Hobby,5,0,21,0,-4.9,274.0,,,,,,,3.382,
2018,8901,CenterPoint Energy,TX,178.427,1.619,140.229,1.37,2517201,4.0,10.0,29000.0,0.0,0.0,0.0,CenterPoint Energy,USW00012918,Houston Hobby,9,1,24,0,-7.1,341.7,,,,,,,0.029,
2019,8901,CenterPoint Energy,TX,227.608,1.767,140.939,1.303,2564204,4.0,7.0,18000.0,0.0,0.0,0.0,CenterPoint Energy,USW00012918,Houston Hobby,1,0,21,0,0.0,210.9,,,,,,,0.018,
