year,utility_number,utility_name,state,county
2023,3278,AEP Texas Central Company,TX,Aransas
2023,3278,AEP Texas Central Company,TX,Atascosa
2023,3278,AEP Texas Central Company,TX,Bee
2023,3278,AEP Texas Central Company,TX,Brooks
2023,3278,AEP Texas Central Company,TX,Caldwell
2023,3278,AEP Texas Central Company,TX,Calhoun
2023,3278,AEP Texas Central Company,TX,Cameron
2023,3278,AEP Texas Central Company,TX,Colorado
2023,3278,AEP Texas Central Company,TX,Dewitt
2023,3278,AEP Texas Central Company,TX,Dimmit
2023,3278,AEP Texas Central Company,TX,Duval
2023,3278,AEP Texas Central Company,TX,Edwards
2023,3278,AEP Texas Central Company,TX,Frio
2023,3278,AEP Texas Central Company,TX,Goliad
2023,3278,AEP Texas Central Company,TX,Gonzales
2023,3278,AEP Texas Central Company,TX,Guadalupe
2023,3278,AEP Texas Central Company,TX,Hidalgo
2023,3278,AEP Texas Central Company,TX,Jackson
2023,3278,AEP Texas Central Company,TX,Jim Hogg
2023,3278,AEP Texas Central Company,TX,Jim Wells
2023,3278,AEP Texas Central Company,TX,Karnes
2023,3278,AEP Texas Central Company,TX,Kenedy
2023,3278,AEP Texas Central Company,TX,Kinney
2023,3278,AEP Texas Central Company,TX,Kleberg
2023,3278,AEP Texas Central Company,TX,La Salle
2023,3278,AEP Texas Central Company,TX,Live Oak
2023,3278,AEP Texas Central Company,TX,Matagorda
2023,3278,AEP Texas Central Company,TX,Maverick
2023,3278,AEP Texas Central Company,TX,Mcmullen
2023,3278,AEP Texas Central Company,TX,Medina
2023,3278,AEP Texas Central Company,TX,Nueces
2023,3278,AEP Texas Central Company,TX,Real
2023,3278,AEP Texas Central Company,TX,Refugio
2023,3278,AEP Texas Central Company,TX,San Patricio
2023,3278,AEP Texas Central Company,TX,Starr
2023,3278,AEP Texas Central Company,TX,Uvalde
2023,3278,AEP Texas Central Company,TX,Val Verde
2023,3278,AEP Texas Central Company,TX,Victoria
2023,3278,AEP Texas Central Company,TX,Webb
2023,3278,AEP Texas Central Company,TX,Wharton
2023,3278,AEP Texas Central Company,TX,Willacy
2023,3278,AEP Texas Central Company,TX,Wilson
2023,3278,AEP Texas Central Company,TX,Zapata
2023,3278,AEP Texas Central Company,TX,Zavala
2023,8901,CenterPoint Energy,TX,Austin
2023,8901,CenterPoint Energy,TX,Brazoria
2023,8901,CenterPoint Energy,TX,Chambers
2023,8901,CenterPoint Energy,TX,Colorado
2023,8901,CenterPoint Energy,TX,Fort Bend
2023,8901,CenterPoint Energy,TX,Galveston
2023,8901,CenterPoint Energy,TX,Harris
